propertyType,checkIn,checkOut,Cancellation Policies,Check in after,Check out before,personCapacity,roomType,Bedrooms,baths,rating_guestSatisfaction,location,Base_Price,Cleaning_Fee,price_cleaningFee,subDescription/title,timestamp,iosLink,url
Private room in rental unit,12/31/2024,1/1/2025,Firm, 3:00 PM , 10:00 AM,2,Private room,1,,5,L'Hospitalet de Llobregat,$88.00 ,,,"Room in L'Hospitalet de Llobregat, Spain",2024-10-08T18:20:48.788Z,airbnb://rooms/943275822852783541,https://www.airbnb.com/rooms/943275822852783541?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,,4.67,Barcelona,$93.00 ,Cleaning fee,$11.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:34.352Z,airbnb://rooms/1239778000568445396,https://www.airbnb.com/rooms/1239778000568445396?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire rental unit,12/31/2024,1/1/2025,Flexible, 12:00 pm,,3,Entire home/apt,1,1,4.45,Barcelona,$97.00 ,Cleaning fee,$31.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:43.877Z,airbnb://rooms/52604262,https://www.airbnb.com/rooms/52604262?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,1,Private room,1,,4.84,Barcelona,$98.00 ,Cleaning fee,$31.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:50.056Z,airbnb://rooms/24137919,https://www.airbnb.com/rooms/24137919?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire guest suite,12/31/2024,1/1/2025,Flexible, 4:00 PM , 11:00 AM,4,Entire home/apt,1,1,4.88,Sant Cugat del Vallès,$99.00 ,Cleaning fee,$24.00 ,"Entire guest suite in Sant Cugat del Vallès, Spain",2024-10-08T18:20:31.800Z,airbnb://rooms/29642908,https://www.airbnb.com/rooms/29642908?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 4:00 PM, 12:00 PM,2,Private room,1,1,4.72,Barcelona,$99.00 ,,,"Private room in rental unit in Barcelona, Spain",2024-10-08T18:20:43.478Z,airbnb://rooms/723022417825018205,https://www.airbnb.com/rooms/723022417825018205?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM , 11:00 AM,2,Private room,1,,5,Barcelona,$99.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:45.991Z,airbnb://rooms/1154207864004800855,https://www.airbnb.com/rooms/1154207864004800855?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in loft,12/31/2024,1/1/2025,Strict,2:00:00 PM,,2,Private room,1,1,,Barcelona,$109.00 ,,,"Private room in loft in Barcelona, Spain",2024-10-08T18:20:50.562Z,airbnb://rooms/1175846028840880796,https://www.airbnb.com/rooms/1175846028840880796?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 4:00 PM , 11:00 AM,2,Private room,1,,,Barcelona,$110.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:52.596Z,airbnb://rooms/18555510,https://www.airbnb.com/rooms/18555510?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,,4.69,Barcelona,$121.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:50.458Z,airbnb://rooms/1180279570912607536,https://www.airbnb.com/rooms/1180279570912607536?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire rental unit,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,2,Entire home/apt,1,1,4.88,Barcelona,$132.00 ,Cleaning fee,$33.00 ,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:35.792Z,airbnb://rooms/673086214664958018,https://www.airbnb.com/rooms/673086214664958018?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 4:00 PM , 11:00 AM,2,Private room,1,,,Barcelona,$132.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:44.520Z,airbnb://rooms/1218644441168403273,https://www.airbnb.com/rooms/1218644441168403273?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in condo,12/31/2024,1/1/2025,Moderate, 4:00 PM , 11:00 AM,1,Private room,1,,4.95,Barcelona,$132.00 ,Cleaning fee,$16.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:45.863Z,airbnb://rooms/635426407936522040,https://www.airbnb.com/rooms/635426407936522040?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire serviced apartment,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,3,Entire home/apt,1,1,4.66,Castelldefels,$133.00 ,,,"Entire serviced apartment in Castelldefels, Spain",2024-10-08T18:20:50.067Z,airbnb://rooms/53018484,https://www.airbnb.com/rooms/53018484?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in bed and breakfast,12/31/2024,1/1/2025,Strict, 3:00 PM , 11:00 AM,2,Private room,1,,5,Barcelona,$143.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:29.246Z,airbnb://rooms/1008162876707135516,https://www.airbnb.com/rooms/1008162876707135516?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hotel,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,1.5,4.49,Barcelona,$153.00 ,,,"Room in hotel in Barcelona, Spain",2024-10-08T18:20:30.145Z,airbnb://rooms/961287943216806993,https://www.airbnb.com/rooms/961287943216806993?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
